Library ID,Tumor Fraction
lib218,0.04155
lib095,0.02144
lib202,0.03113
lib092,0.03314
lib060,0.02374
lib052,0.02267
lib142,0.07094
lib003,0.03165
lib242,0.0
lib009,0.02791
lib071,0.03391
lib244,0.03748
lib088,0.01748
lib023,0.02068
lib067,0.0182
lib182,0.4789
lib181,0.02054
lib014,0.0209
lib107,0.04492
lib193,0.01971
lib241,0.0392
lib175,0.2037
lib126,0.02186
lib076,0.02325
lib158,0.02141
lib169,0.02576
lib101,0.02486
lib131,0.02566
lib164,0.02006
lib150,0.03268
lib027,0.03108
lib090,0.03845
lib129,0.1555
lib134,0.03809
lib086,0.02997
lib065,0.02669
lib117,0.04131
lib061,0.02271
lib184,0.09238
lib019,0.0289
lib012,0.04817
lib139,0.02752
lib096,0.04296
lib249,0.05681
lib161,0.02291
lib032,0.02166
lib205,0.1793
lib162,0.02204
lib041,0.02153
lib136,0.03655
lib080,0.03282
