Library ID,Tumor Fraction
lib150,0.03268
lib164,0.02006
lib092,0.03314
lib065,0.02669
lib067,0.0182
lib080,0.03282
lib095,0.02144
lib061,0.02271
lib101,0.02486
lib088,0.01748
lib086,0.02997
lib076,0.02325
lib071,0.03391
lib090,0.03845
lib096,0.04296
lib060,0.02374
lib019,0.0289
lib041,0.02153
lib027,0.03108
lib052,0.02267
lib003,0.03165
lib014,0.0209
lib009,0.02791
lib023,0.02068
lib032,0.02166
lib012,0.04817
lib249,0.05681
lib131,0.02566
lib139,0.02752
lib193,0.01971
lib136,0.03655
lib169,0.02576
lib161,0.02291
lib181,0.02054
lib134,0.03809
lib162,0.02204
lib244,0.03748
lib241,0.0392
lib242,0.0
lib218,0.04155
lib142,0.07094
lib184,0.09238
lib175,0.2037
lib205,0.1793
lib202,0.03113
lib129,0.1555
lib158,0.02141
lib126,0.02186
lib117,0.04131
lib107,0.04492
lib182,0.4789
