library,chr,arm,raw_frag_cnt,z_frag_cnt
lib003,chr1,p,221747,-1.81590016237868
lib003,chr1,q,195024,-1.81871204362766
lib003,chr10,p,63676,-1.81653905232703
lib003,chr10,q,163095,-1.82465658949583
lib003,chr11,p,94818,-1.83676158077779
lib003,chr11,q,139978,-1.82925023812662
lib003,chr12,p,52819,-1.8163130363616
lib003,chr12,q,185410,-1.83583582828586
lib003,chr13,q,186600,-1.86441957032899
lib003,chr14,q,174625,-1.84425200671113
lib003,chr15,q,132933,-1.82524745305701
lib003,chr16,p,30770,-1.82023562725085
lib003,chr16,q,84873,-1.83661204012965
lib003,chr17,p,26810,-1.81356196636937
lib003,chr17,q,87979,-1.79913568709987
lib003,chr18,p,30924,-1.86102604390453
lib003,chr18,q,105334,-1.86098122212121
lib003,chr19,p,20701,-1.79690936713223
lib003,chr19,q,39977,-1.82681746547398
lib003,chr2,p,167013,-1.82607928587291
lib003,chr2,q,272653,-1.8334740358226
lib003,chr20,p,44427,-1.8461226737303
lib003,chr20,q,58881,-1.79411681673879
lib003,chr21,q,59786,-1.86518864186557
lib003,chr22,q,42950,-1.77587143406169
lib003,chr3,p,178162,-1.83798403534898
lib003,chr3,q,210420,-1.83133645668067
lib003,chr4,p,82542,-1.84856622012422
lib003,chr4,q,279670,-1.83912028848376
lib003,chr5,p,82669,-1.85799712195231
lib003,chr5,q,250939,-1.83754728334734
lib003,chr6,p,93625,-1.80732639726214
lib003,chr6,q,217718,-1.84420979816209
lib003,chr7,p,104370,-1.839617090792
lib003,chr7,q,169896,-1.85118764271498
lib003,chr8,p,62241,-1.83135443617331
lib003,chr8,q,200450,-1.84045131434062
lib003,chr9,p,63936,-1.85295116112183
lib003,chr9,q,128814,-1.81871080239439
lib009,chr1,p,204407,-1.88746497690734
lib009,chr1,q,178235,-1.89821634268954
lib009,chr10,p,58802,-1.88603569401152
lib009,chr10,q,151949,-1.88780669693077
lib009,chr11,p,86051,-1.92427621051019
lib009,chr11,q,130020,-1.89488574258074
lib009,chr12,p,46239,-1.934599800411
lib009,chr12,q,169240,-1.91717162232302
lib009,chr13,q,160480,-2.0030818383376
lib009,chr14,q,158240,-1.93261083939053
lib009,chr15,q,125434,-1.87650630932881
lib009,chr16,p,31266,-1.80627613917397
lib009,chr16,q,82443,-1.86239855523764
lib009,chr17,p,27059,-1.80566243117081
lib009,chr17,q,87160,-1.80710322268083
lib009,chr18,p,29549,-1.90193682919026
lib009,chr18,q,92649,-1.97930414309794
lib009,chr19,p,22225,-1.74044201999884
lib009,chr19,q,41046,-1.80467905567493
lib009,chr2,p,151774,-1.91107259524645
lib009,chr2,q,240615,-1.94555654935181
lib009,chr20,p,41443,-1.90974650953683
lib009,chr20,q,60460,-1.77129825278202
lib009,chr21,q,54173,-1.95417341992466
lib009,chr22,q,44367,-1.74895869761059
lib009,chr3,p,162894,-1.91904724479644
lib009,chr3,q,185095,-1.94691047271073
lib009,chr4,p,73568,-1.95364339845321
lib009,chr4,q,234284,-1.99972660229335
lib009,chr5,p,72493,-1.97982490293486
lib009,chr5,q,224092,-1.93961426092484
lib009,chr6,p,87362,-1.86752141311679
lib009,chr6,q,188683,-1.97414626570227
lib009,chr7,p,93981,-1.93447220526602
lib009,chr7,q,151564,-1.95443308984399
lib009,chr8,p,57526,-1.90145213576473
lib009,chr8,q,176771,-1.95413997437138
lib009,chr9,p,54663,-1.99601181538519
lib009,chr9,q,121933,-1.8669450447615
lib012,chr1,p,214935,-1.84401432135038
lib012,chr1,q,188929,-1.84757491233825
lib012,chr10,p,61953,-1.84110669976699
lib012,chr10,q,158218,-1.85228830257318
lib012,chr11,p,90719,-1.87767893760146
lib012,chr11,q,134507,-1.86531087729799
lib012,chr12,p,50516,-1.85771340377889
lib012,chr12,q,176916,-1.87856101285925
lib012,chr13,q,176730,-1.91681607052979
lib012,chr14,q,167833,-1.88087899429481
lib012,chr15,q,128761,-1.85376484849186
lib012,chr16,p,29568,-1.85406487053394
lib012,chr16,q,82609,-1.86063700729199
lib012,chr17,p,26081,-1.83668952122782
lib012,chr17,q,86519,-1.81333910828204
lib012,chr18,p,30521,-1.87301662315555
lib012,chr18,q,99518,-1.91523160512481
lib012,chr19,p,20458,-1.80591301893893
lib012,chr19,q,39244,-1.84199749763741
lib012,chr2,p,160994,-1.85964938424677
lib012,chr2,q,261207,-1.87351699886197
lib012,chr20,p,42724,-1.8824334620609
lib012,chr20,q,58094,-1.80548997052852
lib012,chr21,q,57408,-1.90288787618314
lib012,chr22,q,42893,-1.77695402120193
lib012,chr3,p,170871,-1.8766945318175
lib012,chr3,q,200981,-1.87441259240852
lib012,chr4,p,78105,-1.90051935587703
lib012,chr4,q,265163,-1.89045584998809
lib012,chr5,p,77354,-1.92162867225914
lib012,chr5,q,240629,-1.87674386169218
lib012,chr6,p,92270,-1.82034958846173
lib012,chr6,q,206832,-1.89292646376024
lib012,chr7,p,99633,-1.88286751694115
lib012,chr7,q,162240,-1.89430607732221
lib012,chr8,p,59831,-1.86718380118186
lib012,chr8,q,192045,-1.88080577135141
lib012,chr9,p,60305,-1.90896898012649
lib012,chr9,q,125789,-1.83991536323736
lib014,chr1,p,212975,-1.85210353914024
lib014,chr1,q,188215,-1.85095605889434
lib014,chr10,p,60953,-1.85536534598868
lib014,chr10,q,158784,-1.84908150544344
lib014,chr11,p,91857,-1.86631910543134
lib014,chr11,q,135627,-1.85792869563615
lib014,chr12,p,50123,-1.8647782515405
lib014,chr12,q,177117,-1.87754997423207
lib014,chr13,q,176727,-1.91683199651769
lib014,chr14,q,167048,-1.88511223711771
lib014,chr15,q,128556,-1.85516611073159
lib014,chr16,p,29864,-1.84573420829451
lib014,chr16,q,83597,-1.850152613495
lib014,chr17,p,26488,-1.82377742955788
lib014,chr17,q,85527,-1.82298965198937
lib014,chr18,p,30318,-1.87905654272864
lib014,chr18,q,100830,-1.90299355448851
lib014,chr19,p,19988,-1.82332748951156
lib014,chr19,q,39004,-1.84696776737714
lib014,chr2,p,161265,-1.85813792110351
lib014,chr2,q,261326,-1.87310068638585
lib014,chr20,p,43104,-1.87433123095954
lib014,chr20,q,58759,-1.79587987234533
lib014,chr21,q,57709,-1.89811602188137
lib014,chr22,q,42566,-1.78316465269064
lib014,chr3,p,170987,-1.87607864680991
lib014,chr3,q,199741,-1.88007149783309
lib014,chr4,p,79254,-1.88706563647654
lib014,chr4,q,263819,-1.89521182949191
lib014,chr5,p,78475,-1.90820798215679
lib014,chr5,q,241049,-1.87514710486339
lib014,chr6,p,90351,-1.83879350278795
lib014,chr6,q,206292,-1.89534305382299
lib014,chr7,p,101070,-1.86974721667171
lib014,chr7,q,161835,-1.89658702899618
lib014,chr8,p,60055,-1.8638536029404
lib014,chr8,q,192091,-1.8805849141209
lib014,chr9,p,60500,-1.9059605872028
lib014,chr9,q,125183,-1.84416328517814
lib019,chr1,p,419370,-1.00028001580443
lib019,chr1,q,370001,-0.990108568914956
lib019,chr10,p,121078,-0.998064241909957
lib019,chr10,q,308111,-1.00303663796291
lib019,chr11,p,180745,-0.979014393710822
lib019,chr11,q,267325,-0.989876409474494
lib019,chr12,p,97631,-1.01074062441908
lib019,chr12,q,352930,-0.993203038112314
lib019,chr13,q,349603,-0.999091634945885
lib019,chr14,q,331699,-0.997204384844596
lib019,chr15,q,252166,-1.01023915730354
lib019,chr16,p,60062,-0.995837795097534
lib019,chr16,q,162304,-1.01493481736129
lib019,chr17,p,51698,-1.02398914700436
lib019,chr17,q,169542,-1.00566058992123
lib019,chr18,p,59144,-1.02138796334935
lib019,chr18,q,196603,-1.00964384138605
lib019,chr19,p,41819,-1.0144438574453
lib019,chr19,q,80899,-0.979345055935272
lib019,chr2,p,317938,-0.9843170168788
lib019,chr2,q,515059,-0.985435026690888
lib019,chr20,p,84921,-0.982723341575569
lib019,chr20,q,115069,-0.98212855099908
lib019,chr21,q,114102,-1.00409881377765
lib019,chr22,q,83334,-1.00886794158364
lib019,chr3,p,339232,-0.982806464894255
lib019,chr3,q,396287,-0.983107606238072
lib019,chr4,p,156378,-0.984015458022669
lib019,chr4,q,522579,-0.979544227998685
lib019,chr5,p,155359,-0.987747377492679
lib019,chr5,q,477966,-0.974435586752302
lib019,chr6,p,178581,-0.990796337075675
lib019,chr6,q,409130,-0.987609173922344
lib019,chr7,p,197767,-0.986870616008124
lib019,chr7,q,321830,-0.995498478188494
lib019,chr8,p,117536,-1.00928608009538
lib019,chr8,q,378637,-0.984932024467686
lib019,chr9,p,120200,-0.984929522873815
lib019,chr9,q,245073,-1.00376169857836
lib023,chr1,p,285717,-1.55188625318615
lib023,chr1,q,251896,-1.54939472298631
lib023,chr10,p,82885,-1.54264471705471
lib023,chr10,q,212248,-1.54616948822633
lib023,chr11,p,122713,-1.55830594072015
lib023,chr11,q,182057,-1.55189771835111
lib023,chr12,p,66321,-1.57359147280613
lib023,chr12,q,239314,-1.56469639465695
lib023,chr13,q,235503,-1.60481004152253
lib023,chr14,q,225550,-1.56963048982385
lib023,chr15,q,172369,-1.55568561068674
lib023,chr16,p,42234,-1.49759133024807
lib023,chr16,q,113079,-1.53729745365389
lib023,chr17,p,35846,-1.52689449627205
lib023,chr17,q,116014,-1.52640081529031
lib023,chr18,p,41302,-1.55224631321702
lib023,chr18,q,134514,-1.58879652885349
lib023,chr19,p,27853,-1.53191299790782
lib023,chr19,q,54068,-1.53500050338
lib023,chr2,p,215459,-1.55587875657896
lib023,chr2,q,348807,-1.56705504164995
lib023,chr20,p,58598,-1.54397341863165
lib023,chr20,q,79444,-1.4969552393841
lib023,chr21,q,77522,-1.58401386480232
lib023,chr22,q,57742,-1.49493057479229
lib023,chr3,p,230191,-1.56174368138369
lib023,chr3,q,268074,-1.56822473623854
lib023,chr4,p,105843,-1.57573322121138
lib023,chr4,q,349220,-1.59300542651184
lib023,chr5,p,105054,-1.59000234234399
lib023,chr5,q,321722,-1.56844433427041
lib023,chr6,p,122735,-1.52754403872327
lib023,chr6,q,275107,-1.58738445166085
lib023,chr7,p,133933,-1.56969681461573
lib023,chr7,q,217514,-1.58300404565032
lib023,chr8,p,81209,-1.54935800651265
lib023,chr8,q,256943,-1.56921462904488
lib023,chr9,p,80529,-1.59696006480004
lib023,chr9,q,169018,-1.53688992168993
lib027,chr1,p,194953,-1.92648307128762
lib027,chr1,q,164190,-1.96472643145744
lib027,chr10,p,55975,-1.92634488688022
lib027,chr10,q,143852,-1.93368202618797
lib027,chr11,p,74804,-2.03654688926009
lib027,chr11,q,122229,-1.94623804376591
lib027,chr12,p,39334,-2.05872899581542
lib027,chr12,q,154516,-1.99123397429601
lib027,chr13,q,131693,-2.15590230959195
lib027,chr14,q,141280,-2.02407045502938
lib027,chr15,q,120739,-1.90859863233135
lib027,chr16,p,34226,-1.72296951677967
lib027,chr16,q,84143,-1.84435860639666
lib027,chr17,p,29961,-1.71359636231042
lib027,chr17,q,93847,-1.74204960799238
lib027,chr18,p,28420,-1.93552830307215
lib027,chr18,q,77864,-2.11721540731876
lib027,chr19,p,28838,-1.49541671383539
lib027,chr19,q,48830,-1.64347664044964
lib027,chr2,p,137212,-1.99229003543921
lib027,chr2,q,204657,-2.07135288562385
lib027,chr20,p,37760,-1.98827418623772
lib027,chr20,q,66472,-1.68441718469583
lib027,chr21,q,48864,-2.03833878367233
lib027,chr22,q,52105,-1.60199274513448
lib027,chr3,p,144182,-2.01839586774515
lib027,chr3,q,152722,-2.09464897699271
lib027,chr4,p,63195,-2.07510156324111
lib027,chr4,q,178036,-2.19877000640833
lib027,chr5,p,58887,-2.14271688289246
lib027,chr5,q,189440,-2.07135430290403
lib027,chr6,p,83442,-1.90519736108905
lib027,chr6,q,152050,-2.13808505045858
lib027,chr7,p,82074,-2.0431871776447
lib027,chr7,q,130897,-2.07082920896985
lib027,chr8,p,54258,-1.95003734939458
lib027,chr8,q,148616,-2.08931900318029
lib027,chr9,p,42051,-2.19058541309569
lib027,chr9,q,119191,-1.88616584007768
lib032,chr1,p,204118,-1.88865772381615
lib032,chr1,q,177840,-1.90008686494396
lib032,chr10,p,59423,-1.87718107470785
lib032,chr10,q,152099,-1.88695683903419
lib032,chr11,p,86274,-1.92205016255418
lib032,chr11,q,129082,-1.90106831972253
lib032,chr12,p,47131,-1.91856457343044
lib032,chr12,q,169693,-1.91489301287968
lib032,chr13,q,163792,-1.98549954769271
lib032,chr14,q,159518,-1.92571901222152
lib032,chr15,q,124948,-1.87982832615079
lib032,chr16,p,30603,-1.82493569682513
lib032,chr16,q,81579,-1.87156709394271
lib032,chr17,p,26307,-1.82951966197129
lib032,chr17,q,85073,-1.82740633227478
lib032,chr18,p,29720,-1.89684901516564
lib032,chr18,q,94100,-1.96576953069453
lib032,chr19,p,21402,-1.77093586953347
lib032,chr19,q,40150,-1.82323472936993
lib032,chr2,p,152536,-1.90682265091003
lib032,chr2,q,243399,-1.93581693646508
lib032,chr20,p,41773,-1.90271036147512
lib032,chr20,q,59123,-1.79061960807664
lib032,chr21,q,54722,-1.94546993815832
lib032,chr22,q,43348,-1.76831231683689
lib032,chr3,p,162673,-1.92022061192297
