library	chr	arm	raw_frag_cnt	z_frag_cnt
lib001	chr1	p	109652	-2.27853325837581
lib001	chr1	q	98174	-2.27734515841374
lib001	chr10	p	31601	-2.27388512988753
lib001	chr10	q	81556	-2.2866336763555
lib001	chr11	p	47419	-2.30991156762462
lib001	chr11	q	69923	-2.29099910984111
lib001	chr12	p	26484	-2.28972974323713
lib001	chr12	q	92780	-2.30176870408442
lib001	chr13	q	94545	-2.35310850913191
lib001	chr14	q	87671	-2.31316588750479
lib001	chr15	q	65857	-2.28374045789593
lib001	chr16	p	15246	-2.25714508875393
lib001	chr16	q	42215	-2.28928741522299
lib001	chr17	p	13073	-2.24936885401069
lib001	chr17	q	43360	-2.23320585814574
lib001	chr18	p	15631	-2.31604323617705
lib001	chr18	q	53253	-2.34678146235686
lib001	chr19	p	9958	-2.19495970194455
lib001	chr19	q	19615	-2.2485034339757
lib001	chr2	p	83610	-2.29124740593861
lib001	chr2	q	136934	-2.30827666562693
lib001	chr20	p	22053	-2.32317351231453
lib001	chr20	q	29001	-2.22592092758635
lib001	chr21	q	30608	-2.32775729574194
lib001	chr22	q	20987	-2.19300935267539
lib001	chr3	p	88899	-2.31191285804408
lib001	chr3	q	106105	-2.30739187552274
lib001	chr4	p	41554	-2.32849750888605
lib001	chr4	q	142056	-2.32609154104168
lib001	chr5	p	41782	-2.34749913463248
lib001	chr5	q	125938	-2.31277633181327
lib001	chr6	p	46750	-2.25785192307833
lib001	chr6	q	110217	-2.32529470248573
lib001	chr7	p	52077	-2.31707002189122
lib001	chr7	q	85962	-2.32390220519188
lib001	chr8	p	31171	-2.29327077261135
lib001	chr8	q	101594	-2.31508310521021
lib001	chr9	p	32145	-2.34341177361903
lib001	chr9	q	64410	-2.27016816984265
lib002	chr1	p	186837	-1.95997903638073
lib002	chr1	q	163403	-1.96845326946814
lib002	chr10	p	53921	-1.95563214621955
lib002	chr10	q	137782	-1.96807294240277
lib002	chr11	p	79188	-1.99278458325497
lib002	chr11	q	118746	-1.96919531048751
lib002	chr12	p	42510	-2.00163495894295
lib002	chr12	q	154689	-1.99036377687063
lib002	chr13	q	150156	-2.05788847137438
lib002	chr14	q	145978	-1.99873571008414
lib002	chr15	q	113692	-1.95676787625019
lib002	chr16	p	27653	-1.90796087792755
lib002	chr16	q	74353	-1.9482474882515
lib002	chr17	p	24067	-1.90058375371742
lib002	chr17	q	76884	-1.90707195971364
lib002	chr18	p	26745	-1.98536507787477
lib002	chr18	q	86091	-2.04047574071445
lib002	chr19	p	19433	-1.84389138561329
lib002	chr19	q	36844	-1.89170019503473
lib002	chr2	p	139402	-1.98007562848809
lib002	chr2	q	223119	-2.00676497861416
lib002	chr20	p	38045	-1.9821975129117
lib002	chr20	q	53162	-1.8767636611142
lib002	chr21	q	50381	-2.01428927212492
lib002	chr22	q	38687	-1.85683755649716
lib002	chr3	p	149080	-1.99239065423495
lib002	chr3	q	170583	-2.01313792071184
lib002	chr4	p	68275	-2.01561949661405
lib002	chr4	q	222477	-2.04150774068735
lib002	chr5	p	67078	-2.04465366020888
lib002	chr5	q	207401	-2.00307013766138
lib002	chr6	p	79899	-1.93924988243234
lib002	chr6	q	175880	-2.03144182602316
lib002	chr7	p	86306	-2.00454757378927
lib002	chr7	q	140698	-2.01563017845974
lib002	chr8	p	53183	-1.9660193275623
lib002	chr8	q	164779	-2.01171649411837
lib002	chr9	p	51577	-2.04362156185955
lib002	chr9	q	110207	-1.94914163333827
lib003	chr1	p	221747	-1.81590016237868
lib003	chr1	q	195024	-1.81871204362766
lib003	chr10	p	63676	-1.81653905232703
lib003	chr10	q	163095	-1.82465658949583
lib003	chr11	p	94818	-1.83676158077779
lib003	chr11	q	139978	-1.82925023812662
lib003	chr12	p	52819	-1.8163130363616
lib003	chr12	q	185410	-1.83583582828586
lib003	chr13	q	186600	-1.86441957032899
lib003	chr14	q	174625	-1.84425200671113
lib003	chr15	q	132933	-1.82524745305701
lib003	chr16	p	30770	-1.82023562725085
lib003	chr16	q	84873	-1.83661204012965
lib003	chr17	p	26810	-1.81356196636937
lib003	chr17	q	87979	-1.79913568709987
lib003	chr18	p	30924	-1.86102604390453
lib003	chr18	q	105334	-1.86098122212121
lib003	chr19	p	20701	-1.79690936713223
lib003	chr19	q	39977	-1.82681746547398
lib003	chr2	p	167013	-1.82607928587291
lib003	chr2	q	272653	-1.8334740358226
lib003	chr20	p	44427	-1.8461226737303
lib003	chr20	q	58881	-1.79411681673879
lib003	chr21	q	59786	-1.86518864186557
lib003	chr22	q	42950	-1.77587143406169
lib003	chr3	p	178162	-1.83798403534898
lib003	chr3	q	210420	-1.83133645668067
lib003	chr4	p	82542	-1.84856622012422
lib003	chr4	q	279670	-1.83912028848376
lib003	chr5	p	82669	-1.85799712195231
lib003	chr5	q	250939	-1.83754728334734
lib003	chr6	p	93625	-1.80732639726214
lib003	chr6	q	217718	-1.84420979816209
lib003	chr7	p	104370	-1.839617090792
lib003	chr7	q	169896	-1.85118764271498
lib003	chr8	p	62241	-1.83135443617331
lib003	chr8	q	200450	-1.84045131434062
lib003	chr9	p	63936	-1.85295116112183
lib003	chr9	q	128814	-1.81871080239439
lib004	chr1	p	178330	-1.99508871787988
lib004	chr1	q	155813	-2.00439570974926
lib004	chr10	p	52221	-1.97987184479642
lib004	chr10	q	132046	-2.00057150836785
lib004	chr11	p	74961	-2.03497967164084
lib004	chr11	q	112882	-2.00784630447415
lib004	chr12	p	40081	-2.0453003920548
lib004	chr12	q	147327	-2.02739495285713
lib004	chr13	q	139807	-2.11282782097702
lib004	chr14	q	137863	-2.04249719480756
lib004	chr15	q	108704	-1.99086297894171
lib004	chr16	p	27140	-1.92239881620062
lib004	chr16	q	70926	-1.984613902768
lib004	chr17	p	23250	-1.92650311218018
lib004	chr17	q	73802	-1.93705479812695
lib004	chr18	p	25580	-2.02002767049868
lib004	chr18	q	80829	-2.08955853221462
lib004	chr19	p	18552	-1.87653425492071
lib004	chr19	q	34309	-1.94419866916064
lib004	chr2	p	132437	-2.01892190447646
lib004	chr2	q	210976	-2.04924634329939
lib004	chr20	p	36026	-2.02524594605291
lib004	chr20	q	51404	-1.90216900337893
lib004	chr21	q	46932	-2.06896742988829
lib004	chr22	q	38073	-1.86849910920074
lib004	chr3	p	141179	-2.03433985634685
lib004	chr3	q	161312	-2.05544736602733
lib004	chr4	p	63725	-2.06889575707726
lib004	chr4	q	204876	-2.10379196334109
lib004	chr5	p	62467	-2.0998568734666
lib004	chr5	q	195155	-2.04962700462656
lib004	chr6	p	77014	-1.96697822679457
lib004	chr6	q	164171	-2.0838415538836
lib004	chr7	p	82053	-2.04337891480939
lib004	chr7	q	131189	-2.06918467097282
lib004	chr8	p	50340	-2.00828608470724
lib004	chr8	q	154398	-2.06155820955311
lib004	chr9	p	47495	-2.10659725372874
lib004	chr9	q	106069	-1.97814807061702
lib005	chr1	p	49800	-2.52555155590576
lib005	chr1	q	35171	-2.5756958257433
lib005	chr10	p	12278	-2.54940495082912
lib005	chr10	q	35638	-2.5467921756555
lib005	chr11	p	14747	-2.63605254887442
lib005	chr11	q	30642	-2.54990935792928
lib005	chr12	p	7695	-2.62749418240494
lib005	chr12	q	34636	-2.59423551969957
lib005	chr13	q	25477	-2.71976721995956
lib005	chr14	q	32295	-2.61179016083126
lib005	chr15	q	29711	-2.53081375017496
lib005	chr16	p	8530	-2.44616106037559
lib005	chr16	q	24137	-2.48112635354493
lib005	chr17	p	10549	-2.32944285738892
lib005	chr17	q	32012	-2.34360340853971
lib005	chr18	p	6337	-2.59257039141021
lib005	chr18	q	14118	-2.71182423038402
lib005	chr19	p	14397	-2.03048558519579
lib005	chr19	q	19811	-2.24444438035492
lib005	chr2	p	29138	-2.59505707508982
lib005	chr2	q	40297	-2.64635388205499
lib005	chr20	p	6738	-2.64971474736046
lib005	chr20	q	19618	-2.3615172452598
lib005	chr21	q	10886	-2.64041679919488
lib005	chr22	q	20466	-2.20290457899227
lib005	chr3	p	29527	-2.6271397948606
lib005	chr3	q	28966	-2.65942599289857
lib005	chr4	p	12508	-2.66859910480134
lib005	chr4	q	29144	-2.72565043816566
lib005	chr5	p	10310	-2.72428411135051
lib005	chr5	q	37131	-2.65040295965716
lib005	chr6	p	18958	-2.52496670523265
lib005	chr6	q	28050	-2.69300573153254
lib005	chr7	p	16430	-2.64253929378027
lib005	chr7	q	29040	-2.64448573898403
lib005	chr8	p	11328	-2.58827578915271
lib005	chr8	q	27360	-2.67149866282343
lib005	chr9	p	7117	-2.72953514846033
lib005	chr9	q	31560	-2.50043918593909
lib006	chr1	p	145275	-2.1315117250451
lib006	chr1	q	127644	-2.13778999173593
lib006	chr10	p	42004	-2.12555243324336
lib006	chr10	q	106572	-2.14490004208378
lib006	chr11	p	61639	-2.16796357688722
lib006	chr11	q	91882	-2.14626221063366
lib006	chr12	p	34324	-2.1487923222421
lib006	chr12	q	121301	-2.15830684992647
lib006	chr13	q	120739	-2.21405340008836
lib006	chr14	q	114058	-2.17086960932895
lib006	chr15	q	87524	-2.13563729229505
lib006	chr16	p	20346	-2.11361002989889
lib006	chr16	q	56583	-2.13681801231284
lib006	chr17	p	17762	-2.1006101369582
lib006	chr17	q	59028	-2.08078174644564
lib006	chr18	p	20720	-2.16462870067225
lib006	chr18	q	67827	-2.21083836024296
lib006	chr19	p	14086	-2.04200877742577
lib006	chr19	q	26796	-2.09978882147148
lib006	chr2	p	109512	-2.14678276262912
lib006	chr2	q	176475	-2.16994547555706
lib006	chr20	p	29085	-2.17323959361764
lib006	chr20	q	39971	-2.06739043575243
lib006	chr21	q	39463	-2.18737600058548
lib006	chr22	q	28995	-2.0409153558508
lib006	chr3	p	116222	-2.16684539198873
lib006	chr3	q	136532	-2.16853420185062
lib006	chr4	p	53472	-2.18894883367712
lib006	chr4	q	179640	-2.19309397134574
lib006	chr5	p	53030	-2.21283729496152
lib006	chr5	q	163117	-2.17142913624752
lib006	chr6	p	61608	-2.11504854681003
lib006	chr6	q	140425	-2.19010886430926
lib006	chr7	p	68510	-2.16703112535147
lib006	chr7	q	110796	-2.1840376277316
lib006	chr8	p	41211	-2.14400653000311
lib006	chr8	q	130458	-2.17649999430485
lib006	chr9	p	41299	-2.20218701042192
lib006	chr9	q	85502	-2.12231805503272
lib007	chr1	p	191807	-1.93946709127073
lib007	chr1	q	168755	-1.9431088767956
lib007	chr10	p	55860	-1.92798463119571
lib007	chr10	q	141282	-1.94824292481598
lib007	chr11	p	81771	-1.96700035962103
lib007	chr11	q	121196	-1.95304678810224
lib007	chr12	p	44899	-1.95868859430556
lib007	chr12	q	159407	-1.96663203436801
lib007	chr13	q	157173	-2.02063758566931
lib007	chr14	q	149613	-1.97913336911437
lib007	chr15	q	116334	-1.9387086819216
lib007	chr16	p	27344	-1.91665741384642
lib007	chr16	q	73395	-1.95841353001012
lib007	chr17	p	23688	-1.91260754424054
lib007	chr17	q	77652	-1.899600571037
lib007	chr18	p	27203	-1.97173806721232
lib007	chr18	q	89183	-2.01163423723317
lib007	chr19	p	17980	-1.89772803612826
lib007	chr19	q	35171	-1.9263471170121
lib007	chr2	p	144965	-1.94904880389035
lib007	chr2	q	232946	-1.97238596430454
lib007	chr20	p	38817	-1.96573719077944
lib007	chr20	q	51941	-1.89440866845506
lib007	chr21	q	51697	-1.99342628122419
lib007	chr22	q	38065	-1.86865105125551
lib007	chr3	p	154137	-1.96554125351608
lib007	chr3	q	179738	-1.97135785687156
lib007	chr4	p	70054	-1.99478906422634
lib007	chr4	q	233877	-2.00116684311036
lib007	chr5	p	69809	-2.01195793793458
lib007	chr5	q	214988	-1.97422586608987
lib007	chr6	p	83129	-1.9082056702001
lib007	chr6	q	185113	-1.99012261111706
lib007	chr7	p	89234	-1.97781393482692
